file,display_name,corpus,operation_name,error,timestamp
/app/archive/역사기록/1960/19660630_1966 청주지구 LTC 훈련/metadata_19660630_1966 청주지구 LTC 훈련.json,metadata_19660630_1966 청주지구 LTC 훈련.json,fileSearchStores/ccc-sp39ygty7ddk,fileSearchStores/ccc-sp39ygty7ddk/upload/operations/metadata196606301966-ltc-js-zlzvv12oro0o,타임아웃 (300초 초과),2025-12-10T03:57:15.833212
/app/archive/역사기록/1960/19600000_1960년대/metadata_19600000_1960년대.json,metadata_19600000_1960년대.json,fileSearchStores/ccc-sp39ygty7ddk,fileSearchStores/ccc-sp39ygty7ddk/upload/operations/metadata196000001960json-vft24k9jig41,타임아웃 (300초 초과),2025-12-10T03:57:26.866272
/app/archive/역사기록/1950/19500000_1950년대/metadata_19500000_1950년대.json,metadata_19500000_1950년대.json,fileSearchStores/ccc-sp39ygty7ddk,fileSearchStores/ccc-sp39ygty7ddk/upload/operations/metadata195000001950json-qu2u95o1b2qe,타임아웃 (300초 초과),2025-12-10T03:57:32.592499
/app/archive/역사기록/1960/19630321_1963 대학생 졸업예배/metadata_19630321_1963 대학생 졸업예배.json,metadata_19630321_1963 대학생 졸업예배.json,fileSearchStores/ccc-sp39ygty7ddk,fileSearchStores/ccc-sp39ygty7ddk/upload/operations/metadata196303211963-json-cwfdb2aec842,타임아웃 (300초 초과),2025-12-10T03:57:32.600080
/app/archive/역사기록/1960/19640127_CCC편지 창간/metadata_19640127_CCC편지 창간.json,metadata_19640127_CCC편지 창간.json,fileSearchStores/ccc-sp39ygty7ddk,fileSearchStores/ccc-sp39ygty7ddk/upload/operations/metadata19640127ccc-json-bqo7obuyppf8,타임아웃 (300초 초과),2025-12-10T03:57:38.517139
/app/archive/역사기록/1960/19690208_1969 서울지구 동계 성서대학/metadata_19690208_1969 서울지구 동계 성서대학.json,metadata_19690208_1969 서울지구 동계 성서대학.json,fileSearchStores/ccc-sp39ygty7ddk,fileSearchStores/ccc-sp39ygty7ddk/upload/operations/metadata196902081969-json-08wpdjsh3cpw,타임아웃 (300초 초과),2025-12-10T03:57:38.520996
