file,display_name,corpus,operation_name,error,timestamp
/app/archive/역사기록/1970/19720731_1972 춘천 성시화운동 전도대회/metadata_19720731_1972 춘천 성시화운동 전도대회.json,metadata_19720731_1972 춘천 성시화운동 전도대회.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.515169
/app/archive/역사기록/1970/19730926_1973 제1회 전국 기독실업인 대회/metadata_19730926_1973 제1회 전국 기독실업인 대회.json,metadata_19730926_1973 제1회 전국 기독실업인 대회.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.515220
/app/archive/역사기록/1960/19620426_1962 대학생 전도강연회/metadata_19620426_1962 대학생 전도강연회.json,metadata_19620426_1962 대학생 전도강연회.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.515279
/app/archive/역사기록/1970/19740516_1974 전국 순회교역자 세미나/metadata_19740516_1974 전국 순회교역자 세미나.json,metadata_19740516_1974 전국 순회교역자 세미나.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.515559
/app/archive/역사기록/1960/19690501_1969 제2회 국가조찬기도회/metadata_19690501_1969 제2회 국가조찬기도회.json,metadata_19690501_1969 제2회 국가조찬기도회.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.515600
/app/archive/역사기록/1970/19730530_1973 빌리그래함 전도대회/metadata_19730530_1973 빌리그래함 전도대회.json,metadata_19730530_1973 빌리그래함 전도대회.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.515638
/app/archive/역사기록/1970/19701230_민족복음화운동 요원 훈련 강습회 1기/metadata_19701230_민족복음화운동 요원 훈련 강습회 1기.json,metadata_19701230_민족복음화운동 요원 훈련 강습회 1기.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.515682
/app/archive/역사기록/1970/19740813_엑스플로74/metadata_19740813_엑스플로74.json,metadata_19740813_엑스플로74.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.515903
/app/archive/역사기록/1960/19651218_1965 대전지구 성탄 및 졸업 축하예배/metadata_19651218_1965 대전지구 성탄 및 졸업 축하예배.json,metadata_19651218_1965 대전지구 성탄 및 졸업 축하예배.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.515941
/app/archive/역사기록/1970/19721016_채남선 간사 송별회/metadata_19721016_채남선 간사 송별회.json,metadata_19721016_채남선 간사 송별회.json,fileSearchStores/ccc-sp39ygty7ddk,,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=60)",2025-12-10T03:52:28.515990
